ID,FIRST_NAME,MIDDLE_NAME,SURNAME,BIRTH_DATE,PASSPORT_SERIES,PASSPORT_NUMBER,COMPANY_ID
1,Дмитрий,Дмитриевич,Дмитриев,4/12/2001 12:00:00 AM,4255,112733,1
2,Петр,Петрович,Петров,2/1/1999 12:00:00 AM,4455,111233,1
3,Сидор,Сидорович,Сидоров,4/6/1988 12:00:00 AM,4355,112833,1
4,Иван,,Незнающий,2/2/1979 12:00:00 AM,4445,112433,2
5,Эдуард,Эдуардович,Эдуардов,6/4/1995 12:00:00 AM,4655,11233,3
6,Алексей,Алексеевич,Алексеев,1/8/1978 12:00:00 AM,4755,176233,4
7,Александра,Александровна,Александрова,9/2/0001 12:00:00 AM,1255,152233,5
8,Василий,Васильевич,Васильев,2/3/2001 12:00:00 AM,1355,142233,5
9,Евгений,Евгеньевич,Евгеньев,5/7/1991 12:00:00 AM,4445,132233,6
10,Максим,Максимович,Максаков,2/6/1995 12:00:00 AM,4475,122233,2
